Municipality,Cases
Aguada,1
Barranquitas,1
Bayamón,4
Caguas,7
Canóvanas,2
Carolina,4
Cayey,1
Dorado,1
Guaynabo,4
Gurabo,1
Hormigueros,1
Lajas,1
Mayagüez,1
Rio Grande,1
San Juan,6
Toa Alta,1
Toa Baja,1
Vega Baja,1
New York,2
No disponible,59
