Municipality,Cases
Aguas Buenas,1
Añasco,1
Arecibo,3
Barranquitas,1
Bayamón,11
Cabo Rojo,3
Caguas,10
Canóvanas,3
Carolina,4
Cataño,1
Cayey,1
Ceiba,1
Coamo,1
Dorado,3
Guaynabo,14
Gurabo,1
Hormigueros,1
Isabela,1
Juana Díaz,1
Lajas,0
Lares,1
Mayagüez,3
Moca,1
Rio Grande,1
San Juan,23
San Sebastián,1
Toa Alta,3
Toa Baja,1
Trujillo Alto,4
Vega Alta,1
Vega Baja,2
Yauco,3
Nueva York,3
No disponible,130
