Municipality,Cases
Aguada,1
Aguas Buenas,1
Añasco,1
Arecibo,2
Barranquitas,1
Bayamón,4
Cabo Rojo,1
Caguas,12
Canóvanas,2
Carolina,5
Cataño,1
Cayey,1
Ceiba,2
Dorado,2
Guaynabo,10
Gurabo,3
Hormigueros,1
Lajas,1
Lares,1
Mayagüez,3
Moca,1
Rio Grande,1
Sábana Grande,1
San Juan,18
San Sebastián,1
Toa Alta,1
Toa Baja,1
Trujillo Altro,2
Vega Baja,1
New York,3
No disponible,89
