Municipality,Cases
Aguada,1
Barranquitas,1
Bayamón,3
Caguas,6
Canóvanas,2
Carolina,2
Cayey,1
Guaynabo,2
Hormigueros,1
Mayagüez,1
Rio Grande,1
San Juan,3
Toa Baja,1
New York,2
No disponible,52
