Municipality,Cases
Aguada,1
Añasco,1
Barranquitas,1
Bayamón,4
Cabo Rojo,1
Caguas,10
Canóvanas,2
Carolina,4
Cataño,1
Cayey,1
Ceiba,1
Dorado,1
Guaynabo,4
Gurabo,2
Hormigueros,1
Lajas,1
Lares,1
Mayagüez,2
Rio Grande,1
Sábana Grande,1
San Juan,8
Toa Alta,1
Toa Baja,1
Vega Baja,1
New York,2
No disponible,73
