date, cases, deaths
2020-03-12,3,0
2020-03-13,4,0
2020-03-14,5,0
2020-03-15,5,0
2020-03-16,5,0
2020-03-17,5,0
2020-03-18,6,0
2020-03-19,14,0
2020-03-20,21,1
2020-03-21,23,1
2020-03-22,31,2
2020-03-23,39,2
2020-03-24,51,2
2020-03-25,64,2
2020-03-26,79,3
2020-03-27,100,3
2020-03-28,127,5
2020-03-29,174,6
2020-03-30,239,8
2020-03-31,286,11
2020-04-01,316,12
2020-04-02,378,15
2020-04-03,452,18
